level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,destroyed_original_indices
9,4,0.2620492281996095,0.7031359496533732,3,33.75038775769463,13.092985174009767,1|2|4|5|6
10,0,0.47629805790920243,0.008968284376687174,0,64.68642559269159,8.506127187446205,0|1|2|3|4|5|6|7|8|9|10|11
11,0,0.5784630611352677,0.2937516884295044,0,12.763142826810698,11.988240123070607,0|1|2|3|4|5|8|9|10|11
11,1,0.3054643841026815,0.9148140515215505,7,31.760620635470346,12.141172209600295,
11,2,0.5965099041665334,0.262272917392933,6,69.10912027442949,9.340990971627493,
11,3,0.5864466523246223,0.7380787149277908,7,32.907367363552105,12.083364631956814,
11,4,0.14226802361899726,0.40926801545665314,6,66.05220177080253,9.360572742853549,
12,0,0.2671930986733593,0.7733012008713658,0,7.454058666395434,11.66285954557287,0|1|3|6|7|8|9|10|11
12,1,0.263655042680222,0.8871335467741036,2,37.727538251509756,10.28283279384561,0|1|6|8|9|10|11
12,2,0.4185083779761156,0.8958653122243971,4,77.73353849453045,8.902357691685749,0|1|3|6|7|8|10|11
12,3,0.8661287587243489,0.02491875329337967,2,43.26306419670803,10.331263075237235,0|1|6|8|9|10|11
13,0,0.9267725249346822,0.42707275578733683,2,37.51524466143313,9.102562407503553,0|1|2|3|5|6|7|8|9|11
13,1,0.4442842628331112,0.3789249759488824,10,26.46146811829489,11.06393534278062,0|1|2|3|5|6|7|8|9|11
13,2,0.023887574562772684,0.6244717705659432,10,24.633570069613345,11.184378333650894,0|1|2|3|5|6|7|8|9|11
13,3,0.4564099616639168,0.008626186502027178,10,27.98766439024797,11.133970303472143,0|1|2|3|5|6|7|8|9|11
13,4,0.866447036079343,0.18875811826707356,10,28.1442862235393,10.93567153780316,0|1|2|3|5|6|7|8|9|11
14,0,0.8111860664329175,0.8655242718826819,8,6.040240093407062,5.341949050843095,0|1|2|3|4|5|7|8|9|10|11
14,1,0.8150268517568243,0.8993961884437242,6,35.03759297969354,12.62571642670598,
14,2,0.47537012804856416,0.798857090768137,6,34.648716108016636,12.755529509539134,
14,3,0.611237802052103,0.43969840342919875,6,35.927624157261654,12.792578612320504,
14,4,0.363238665956768,0.24271832320253273,6,35.974731502300074,12.913204277845052,
15,0,0.9808775987860306,0.5714453447466862,0,7.5484787808860965,11.708455647069739,0|2|3|4|5|7|8|9|10
15,1,0.824195907590845,0.5695417132702326,11,75.34035341708967,9.201784014922687,0|2|3|4|5|7|8
15,2,0.8844152966349464,0.3133332643826441,11,76.13522007227732,9.325285489551959,0|2|3|4|5|7|8
15,3,0.13994390252782318,0.208265611376532,11,71.7772648160228,9.48520105170233,0|2|3|4|5|7|8
16,0,0.6810592709749831,0.5441924557710482,10,4.109446815276035,7.948977526045508,0|1|2|3|4|5|7|8|9|10
16,1,0.4236771845015358,0.04846693019504411,11,60.11211699054245,10.489680523388877,
16,2,0.6411676304549494,0.8245073512236148,11,59.02553329703644,10.119090857168509,
16,3,0.04377689936964624,0.3430278213240556,11,57.669400312263264,10.463522810760203,
16,4,0.158868898816231,0.198235087084774,6,25.52550989275019,12.84279706192217,
17,0,0.8272509741061709,0.5620491709363442,0,56.06263659895236,8.053753727151765,0|2|4|5|7|8|10
17,1,0.32595829452067027,0.8863032999989694,6,13.324328397483127,9.57225234397376,0|2|4|5|7|8|10
17,2,0.15827995803274542,0.12838388028307235,6,17.450542057532004,9.756307761823953,0|2|4|5|7|8|10
17,3,0.8896729862664121,0.9110948172858448,6,14.01343829334375,9.284533589704477,0|2|4|5|7|8|10
18,0,0.7688985693490212,0.6105804664297382,8,27.566090546543133,13.802699013712168,
18,1,0.49713876817416924,0.9230934883709703,6,52.358767517588554,10.235004381768226,0|1|2|3|4|5|6|7|9|10|11
18,2,0.07809457832925026,0.6829385274676183,8,26.467690350723753,14.00798870311384,
18,3,0.6809459064221883,0.9198013556566808,8,26.635194100100218,13.78046750012937,
18,4,0.4342025232937816,0.21372609482721316,8,28.13243950275031,13.972526662233552,
19,0,0.07377839864829028,0.16370061274779535,1,64.09948213959376,8.787209969541614,2|5|8|10|11
