level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,hit_block,destroyed_original_indices
20,2,0.6931439187337541,0.9400990847064689,2,52.137403860159836,10.993103177032163,True,
20,3,0.08047731852807838,0.22531668659375692,3,26.789216155706214,13.841650536381858,False,0|1|2|5|6|8|9|10|11|14
21,0,0.5247250133147263,0.834460377782933,0,47.13286759648229,5.763582229275567,False,0|1|2|4|5|6|7|10|11|12|13|14
21,1,0.11736210392574287,0.772473379136869,3,26.160585101430716,10.071165488183384,True,
21,2,0.29566457994898276,0.6066696692296363,8,60.850291710511705,9.949274100025779,True,
21,3,0.27049214282369893,0.9541032987052545,9,19.198438189079667,13.601759103623044,True,
22,0,0.11322023028895045,0.7150035638228096,0,20.63825909484553,13.01236477530459,False,0|2|4|5|6|7|8|9|10|11|13|14
22,1,0.32919561217780513,0.5591258693815253,1,21.97696776571108,11.774226896669623,False,3
22,2,0.9153073779373253,0.007312417612019617,12,71.39700273131673,9.193262444061348,False,
23,0,0.7516445601251048,0.05605064043573904,0,27.359472670365765,13.693031304840392,True,
23,1,0.3454896846294715,0.9742876202800488,1,21.941926582681873,11.003665673502297,True,
23,2,0.7781702245325108,0.014754901236638251,2,14.604370032918567,8.746995277703938,False,0|1|2|3|5|6|7|8|9|11|12|13
24,0,0.512685496170108,0.1909502618714608,0,30.298207571895755,11.259298211673537,False,0|3|4|5|6|7|8|9|10|12|13|14
24,1,0.9755442810829612,0.05227513248692062,1,30.03711180810948,6.514766828263639,False,1
24,2,0.26596753342188106,0.2517273372916774,2,19.203962764581092,4.849614232755254,False,2
26,0,0.8238568210415953,0.3291931144786202,0,29.973322547583543,11.251225794239188,True,
26,1,0.20367744074519023,0.7282380191091451,1,42.4744302767608,11.953301946356227,True,
26,2,0.3055597203750706,0.38598520178968676,2,10.5578033188072,11.934599413696672,False,0|1|2|3|4|5|7|8|9|11|12|13|14
26,3,0.16308047220777488,0.8317260930747392,6,55.40515806985361,10.489794726850288,True,
27,0,0.4444808405689078,0.007570448595276447,0,7.086523943108776,13.097140787711202,False,0|2|3|4|5|6|7|8|9|10|11|12|14
27,1,0.7450233472723269,0.26282129612487926,1,76.75844792651641,9.367765842614586,True,
27,2,0.488869897153833,0.2690488817816389,13,49.224535019971775,9.601456995069478,True,
28,0,0.5905918836249751,0.5793391401345023,0,32.7094197440425,9.990707875855044,True,
28,1,0.20270988910285082,0.11462611221348218,1,6.211456668331932,13.085985913148267,False,1|3|4|5|7|8|9|10|12|13|14
28,2,0.7827751314315969,0.8467185201675408,2,25.510269357379535,13.457127632545104,True,
